Company Name,Sales 5 quarter old,Sales 4 quarter old,Sales 3 quarter old,Sales 2 quarter old,Sales 1 quarter old,Expense 5 quarter old,Expense 4 quarter old,Expense 3 quarter old,Expense 2 quarter old,Expense 1 quarter old,Operating Profit 5 quarter old ,Operating Profit 4 quarter old ,Operating Profit 3 quarter old ,Operating Profit 2 quarter old ,Operating Profit 1 quarter old ,OPM 5 quarter old,OPM 4 quarter old,OPM 3 quarter old,OPM 2 quarter old,OPM 1 quarter old,Other Income 5 quarter old,Other Income 4 quarter old,Other Income 3 quarter old,Other Income 2 quarter old,Other Income 1 quarter old,Interest 5 quarter old,Interest 4 quarter old,Interest 3 quarter old,Interest 2 quarter old,Interest 1 quarter old,Depreciation 5 quarter old,Depreciation 4 quarter old,Depreciation 3 quarter old,Depreciation 2 quarter old,Depreciation 1 quarter old,Profit before tax 5 quarter old,Profit before tax 4 quarter old,Profit before tax 3 quarter old,Profit before tax 2 quarter old,Profit before tax 1 quarter old,Tax 5 quarter old,Tax 4 quarter old,Tax 3 quarter old,Tax 2 quarter old,Tax 1 quarter old,Net Profit 5 quarter old,Net Profit 4 quarter old,Net Profit 3 quarter old,Net Profit 2 quarter old,Net Profit 1 quarter old,EPS 5 quarter old,EPS 4 quarter old,EPS 3 quarter old,EPS 2 quarter old,EPS 1 quarter old,Change in price
Medicamen Biotech Ltd,22.75,33.09,33.53,34.12,37.15,17.78,27.43,27.67,28.26,30.38,4.97,5.66,5.86,5.86,6.77,21.85%,17.10%,17.48%,17.17%,18.22%,0.34,0.96,0.52,0.63,0.35,0.56,0.77,0.62,0.68,0.86,1.52,1.53,1.62,1.60,1.61,3.23,4.32,4.14,4.21,4.65,14.55%,17.13%,13.04%,10.69%,13.12%,2.75,3.59,3.61,3.76,4.05,2.25,2.94,2.85,2.97,3.20,7.64
Man Industries (India) Ltd,614.00,510.00,465.00,658.00,598.00,573.00,488.00,450.00,599.00,557.00,41.00,22.00,15.00,59.00,41.00,7%,4%,3%,9%,7%,16.00,12.00,2.00,14.00,11.00,10.00,9.00,9.00,12.00,11.00,12.00,12.00,11.00,11.00,11.00,35.00,14.00,-3.00,49.00,30.00,25%,29%,-63%,25%,14%,27.00,10.00,-5.00,37.00,26.00,4.48,1.64,-0.85,6.19,4.33,60.37
Hercules Hoists Ltd,31.00,31.00,37.00,36.00,47.00,31.00,28.00,32.00,31.00,43.00,0.00,3.00,4.00,5.00,4.00,-1%,9%,12%,14%,9%,2.00,1.00,5.00,7.00,90.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,9.00,11.00,94.00,45%,29%,17%,17%,9%,1.00,2.00,7.00,9.00,85.00,0.22,0.72,2.25,2.77,26.55,37.57
Kamdhenu Ltd,185.00,191.00,191.00,183.00,167.00,166.00,176.00,179.00,166.00,152.00,19.00,15.00,12.00,17.00,15.00,10%,8%,6%,9%,9%,-8.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,8.00,14.00,11.00,16.00,14.00,34%,26%,24%,25%,25%,5.00,10.00,8.00,12.00,11.00,2.03,3.73,3.06,4.47,4.00,-1.52
Quick Heal Technologies Ltd,103.71,61.08,100.94,66.80,49.28,68.84,60.03,72.56,78.17,65.45,34.87,1.05,28.38,-11.37,-16.17,33.62%,1.72%,28.12%,-17.02%,-32.81%,5.67,3.20,5.40,3.47,10.06,0.00,0.00,0.00,0.00,0.00,4.58,3.95,4.14,4.17,3.73,35.96,0.30,29.64,-12.07,-9.84,21.89%,40.00%,25.24%,23.03%,32.52%,28.09,0.18,22.16,-9.29,-6.64,4.84,0.03,3.82,-1.75,-1.25,14.54
Heubach Colorants India Ltd,210.06,220.09,188.41,178.26,179.65,193.73,202.96,174.18,165.45,162.83,16.33,17.13,14.23,12.81,16.82,7.77%,7.78%,7.55%,7.19%,9.36%,1.30,2.83,-4.58,0.92,0.42,0.09,0.08,0.08,0.06,0.01,5.09,5.17,5.17,5.09,4.97,12.45,14.71,4.40,8.58,12.26,-30.12%,25.63%,275.68%,21.68%,24.71%,16.20,10.94,-7.73,6.72,9.23,7.02,4.74,-3.35,2.91,4.00,27.37
Bliss GVS Pharma Ltd,167.06,188.66,172.43,205.72,184.78,146.90,149.81,147.88,158.04,178.55,20.16,38.85,24.55,47.68,6.23,12.07%,20.59%,14.24%,23.18%,3.37%,12.19,7.01,2.15,5.65,2.98,1.63,2.11,1.91,1.26,5.08,4.27,4.55,4.60,4.64,4.88,26.45,39.20,20.19,47.43,-0.75,11.30%,29.90%,20.75%,37.21%,561.33%,23.46,27.48,16.00,29.79,3.46,1.89,2.48,1.33,2.68,0.32,7.92
Enkei Wheels India Ltd,170.66,159.41,184.71,148.72,132.43,155.56,163.07,162.93,144.70,128.98,15.10,-3.66,21.78,4.02,3.45,8.85%,-2.30%,11.79%,2.70%,2.61%,3.64,8.63,3.66,0.09,1.29,0.70,1.69,2.38,10.52,1.99,5.53,6.35,8.32,8.21,9.30,12.51,-3.07,14.74,-14.62,-6.55,28.86%,-47.56%,8.75%,3.35%,32.82%,8.90,-4.53,13.45,-14.12,-4.40,4.95,-2.52,7.48,-7.86,-2.45,-22.40
Apollo Micro Systems Ltd,105.65,56.27,52.06,82.35,106.85,89.20,46.37,40.07,62.75,83.95,16.45,9.90,11.99,19.60,22.90,15.57%,17.59%,23.03%,23.80%,21.43%,0.03,0.14,0.34,-1.46,-0.96,5.28,3.96,4.83,6.35,7.50,2.39,2.52,2.58,2.63,2.64,8.81,3.56,4.92,9.16,11.80,10.44%,54.21%,33.13%,27.84%,36.19%,7.90,1.64,3.29,6.61,7.54,0.38,0.08,0.16,0.32,0.36,40.29
Sat Industries Ltd,109.00,117.00,126.00,116.00,107.00,93.00,101.00,111.00,103.00,96.00,16.00,16.00,15.00,13.00,11.00,15%,14%,12%,11%,10%,4.00,1.00,5.00,4.00,7.00,3.00,1.00,2.00,3.00,1.00,2.00,1.00,2.00,2.00,2.00,15.00,15.00,17.00,12.00,15.00,45%,25%,21%,20%,25%,8.00,11.00,13.00,10.00,11.00,0.61,0.94,1.11,0.83,0.85,18.40
Talbros Automotive Components Ltd,148.00,153.00,161.00,159.00,175.00,127.00,134.00,140.00,136.00,150.00,21.00,19.00,21.00,23.00,25.00,14%,12%,13%,14%,14%,4.00,4.00,4.00,4.00,6.00,3.00,2.00,3.00,3.00,3.00,6.00,6.00,6.00,6.00,6.00,17.00,15.00,16.00,17.00,21.00,25%,21%,21%,20%,21%,13.00,12.00,13.00,14.00,17.00,10.21,9.64,10.57,11.13,13.67,71.46
Navkar Corporation Ltd,99.52,129.33,109.26,99.39,103.55,77.51,101.47,80.42,86.95,85.93,22.01,27.86,28.84,12.44,17.62,22.12%,21.54%,26.40%,12.52%,17.02%,13.54,12.10,12.64,22.41,-0.44,1.64,4.83,4.61,5.86,3.66,9.70,6.19,6.36,7.38,6.86,24.21,28.94,30.51,21.61,6.66,-23.92%,18.00%,24.32%,-95.84%,49.85%,29.99,23.73,23.08,42.33,3.35,1.99,1.58,1.53,2.81,0.22,14.86
Dolat Algotech Ltd,57.52,48.98,53.94,42.67,8.21,12.69,13.45,15.94,14.51,14.54,44.83,35.53,38.00,28.16,-6.33,77.94%,72.54%,70.45%,65.99%,-77.10%,20.77,18.78,19.37,16.53,19.21,5.78,7.48,5.46,7.21,6.38,0.15,0.13,0.17,0.21,0.20,59.67,46.70,51.74,37.27,6.30,20.23%,18.09%,20.20%,20.55%,-8.57%,47.59,38.25,41.28,29.61,6.85,2.70,2.17,2.35,1.68,0.39,4.14
DE Nora India Ltd,39.00,12.00,14.00,19.00,28.00,25.00,10.00,13.00,14.00,12.00,14.00,2.00,2.00,5.00,15.00,37%,18%,12%,27%,56%,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,14.00,2.00,2.00,6.00,16.00,26%,26%,26%,25%,25%,10.00,2.00,2.00,5.00,12.00,19.03,2.96,2.98,9.06,23.21,77.02
Jubilant Industries Ltd,329.00,355.00,427.00,348.00,343.00,322.00,321.00,397.00,328.00,325.00,7.00,34.00,29.00,20.00,18.00,2%,10%,7%,6%,5%,0.00,1.00,0.00,1.00,12.00,3.00,4.00,5.00,5.00,5.00,3.00,3.00,4.00,4.00,3.00,2.00,28.00,20.00,12.00,22.00,189%,21%,30%,40%,13%,-1.00,22.00,14.00,7.00,19.00,-0.92,14.62,9.48,4.67,12.46,45.07
Elin Electronics Ltd,258.52,316.99,310.34,202.25,268.72,242.42,291.85,279.00,189.05,259.88,16.10,25.14,31.34,13.20,8.84,6.23%,7.93%,10.10%,6.53%,3.29%,0.10,0.14,0.06,0.14,1.84,2.87,3.77,4.12,3.10,2.55,3.67,3.76,4.07,4.39,5.86,9.66,17.75,23.21,5.85,2.27,28.26%,27.21%,25.85%,21.71%,29.52%,6.93,12.92,17.21,4.59,1.60,1.63,3.03,4.04,0.92,0.32,17.61
Indraprastha Medical Corporation Ltd,216.00,263.00,284.00,277.00,274.00,188.00,226.00,241.00,240.00,241.00,28.00,37.00,44.00,37.00,33.00,13%,14%,15%,13%,12%,2.00,1.00,1.00,3.00,5.00,1.00,1.00,1.00,1.00,1.00,9.00,10.00,10.00,10.00,10.00,20.00,27.00,34.00,29.00,27.00,24%,24%,26%,29%,27%,15.00,20.00,25.00,21.00,20.00,1.66,2.21,2.74,2.28,2.16,14.39
Renaissance Global Ltd,529.00,574.00,440.00,724.00,499.00,499.00,533.00,404.00,675.00,463.00,30.00,40.00,36.00,49.00,36.00,6%,7%,8%,7%,7%,7.00,2.00,1.00,1.00,2.00,8.00,8.00,10.00,11.00,12.00,8.00,8.00,9.00,8.00,8.00,21.00,26.00,19.00,31.00,18.00,-2%,6%,18%,11%,-7%,21.00,24.00,16.00,28.00,20.00,2.23,2.55,1.63,2.84,2.14,1.56
OnMobile Global Ltd,127.16,135.13,130.95,130.89,128.20,118.51,127.51,130.71,128.39,126.17,8.65,7.62,0.24,2.50,2.03,6.80%,5.64%,0.18%,1.91%,1.58%,1.20,0.60,4.15,7.23,-6.39,0.20,0.20,0.14,0.01,0.25,2.52,2.48,2.54,2.66,2.58,7.13,5.54,1.71,7.06,-7.19,34.50%,25.81%,63.16%,42.07%,70.51%,4.67,4.12,0.62,4.09,-2.12,0.44,0.39,0.06,0.38,-0.20,11.35
Rushil Decor Ltd,195.00,211.00,203.00,210.00,214.00,164.00,163.00,156.00,184.00,186.00,32.00,48.00,47.00,27.00,28.00,16%,23%,23%,13%,13%,-2.00,0.00,0.00,0.00,0.00,3.00,5.00,6.00,6.00,7.00,6.00,6.00,6.00,7.00,6.00,21.00,37.00,35.00,13.00,16.00,25%,26%,25%,24%,13%,15.00,27.00,27.00,10.00,14.00,5.82,10.26,10.07,3.86,5.12,22.54
Atul Auto Ltd,94.84,106.69,123.05,133.11,150.27,95.48,105.07,116.24,119.52,136.03,-0.64,1.62,6.81,13.59,14.24,-0.67%,1.52%,5.53%,10.21%,9.48%,0.14,0.40,0.67,0.40,0.03,3.38,3.13,3.92,5.07,4.36,3.09,3.07,3.47,4.53,4.43,-6.97,-4.18,0.09,4.39,5.48,17.79%,12.68%,233.33%,18.91%,39.05%,-5.73,-3.65,-0.12,3.56,3.34,-2.61,-1.66,-0.01,1.75,1.61,8.45
Monarch Networth Capital Ltd,32.64,32.56,36.19,47.54,39.63,19.66,18.76,19.19,29.93,29.32,12.98,13.80,17.00,17.61,10.31,39.77%,42.38%,46.97%,37.04%,26.02%,4.27,3.08,1.49,3.71,-2.19,0.76,0.71,1.37,2.00,1.68,0.25,0.26,0.27,0.28,0.32,16.24,15.91,16.85,19.04,6.12,24.38%,21.87%,28.55%,26.47%,26.63%,12.27,12.43,12.04,14.01,4.49,3.95,4.00,3.88,4.51,1.33,15.64
Dhunseri Ventures Ltd,136.00,39.00,50.00,36.00,140.00,145.00,57.00,22.00,51.00,136.00,-10.00,-17.00,27.00,-14.00,4.00,-7%,-45%,55%,-40%,3%,163.00,264.00,258.00,138.00,87.00,2.00,1.00,1.00,2.00,2.00,5.00,5.00,5.00,6.00,6.00,146.00,240.00,279.00,116.00,83.00,19%,27%,23%,27%,21%,119.00,176.00,215.00,85.00,66.00,34.03,50.39,61.51,24.27,18.82,6.47
D-Link India Ltd,269.00,293.00,291.00,278.00,309.00,254.00,272.00,261.00,242.00,283.00,15.00,21.00,30.00,35.00,26.00,6%,7%,10%,13%,9%,2.00,1.00,1.00,2.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,16.00,21.00,30.00,36.00,27.00,26%,26%,25%,25%,27%,12.00,16.00,22.00,27.00,20.00,3.28,4.40,6.24,7.56,5.56,2.01
HP Adhesives Ltd,50.42,61.64,58.32,55.17,57.86,48.49,59.58,54.09,49.48,50.84,1.93,2.06,4.23,5.69,7.02,3.83%,3.34%,7.25%,10.31%,12.13%,0.40,1.14,0.17,-0.30,0.56,0.61,0.56,0.71,0.60,0.43,0.69,0.77,0.78,0.81,0.88,1.03,1.87,2.91,3.98,6.27,33.01%,26.74%,13.75%,22.11%,38.28%,0.69,1.37,2.51,3.10,3.87,0.38,0.75,1.37,1.69,2.11,30.39
Tracxn Technologies Ltd,17.00,18.00,19.00,20.00,20.00,17.00,18.00,18.00,19.00,20.00,0.00,0.00,1.00,1.00,1.00,-1%,1%,5%,4%,3%,0.00,1.00,1.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,6.00,1.00,0%,0%,0%,0%,-1701%,0.00,1.00,2.00,6.00,24.00,-0.04,0.08,0.15,0.62,2.44,18.23
Beekay Steel Industries Ltd,383.00,335.00,258.00,249.00,286.00,338.00,263.00,231.00,223.00,245.00,45.00,72.00,27.00,26.00,41.00,12%,21%,10%,11%,14%,10.00,3.00,4.00,6.00,1.00,3.00,2.00,2.00,3.00,2.00,7.00,5.00,5.00,6.00,7.00,44.00,68.00,24.00,23.00,32.00,17%,25%,30%,26%,25%,37.00,51.00,17.00,17.00,24.00,19.21,26.65,8.85,8.93,12.67,7.91
Oriental Carbon & Chemicals Ltd,126.00,153.00,141.00,120.00,122.00,107.00,123.00,117.00,93.00,94.00,20.00,30.00,24.00,27.00,28.00,16%,19%,17%,22%,23%,2.00,1.00,1.00,0.00,0.00,3.00,2.00,3.00,3.00,3.00,7.00,7.00,7.00,8.00,7.00,12.00,21.00,15.00,16.00,18.00,40%,24%,26%,21%,24%,7.00,16.00,11.00,13.00,14.00,5.62,14.98,9.44,11.62,12.64,16.84
Kalyani Investment Company Ltd,6.89,2.34,39.04,12.57,5.56,1.11,0.35,0.57,0.48,1.59,5.78,1.99,38.47,12.09,3.97,83.89%,85.04%,98.54%,96.18%,71.40%,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.03,0.02,5.76,1.97,38.44,12.10,3.95,19.10%,25.89%,25.05%,21.32%,29.37%,4.66,1.46,28.81,9.53,2.79,10.68,3.34,66.00,21.83,6.39,6.04
SMC Global Securities Ltd,290.00,290.00,301.00,319.00,306.00,217.00,220.00,237.00,248.00,243.00,72.00,71.00,65.00,72.00,63.00,25%,24%,22%,22%,20%,1.00,1.00,1.00,1.00,1.00,16.00,17.00,20.00,26.00,27.00,6.00,5.00,5.00,6.00,6.00,52.00,49.00,41.00,41.00,31.00,21%,25%,27%,23%,29%,41.00,37.00,30.00,32.00,22.00,3.61,3.27,2.81,3.05,2.07,3.55
Panacea Biotec Ltd,141.00,111.00,105.00,115.00,129.00,171.00,191.00,109.00,124.00,135.00,-30.00,-80.00,-4.00,-9.00,-6.00,-21%,-72%,-4%,-8%,-4%,1680.00,40.00,38.00,42.00,34.00,31.00,1.00,1.00,27.00,1.00,11.00,10.00,10.00,-17.00,10.00,1608.00,-51.00,23.00,22.00,18.00,23%,-10%,33%,14%,170%,1237.00,-56.00,16.00,19.00,-13.00,201.86,-9.16,2.56,3.16,-2.07,-8.38
Orient Green Power Company Ltd,38.00,78.00,108.00,28.00,44.00,21.00,24.00,21.00,19.00,23.00,17.00,54.00,87.00,9.00,22.00,44%,69%,80%,31%,49%,1.00,3.00,-6.00,47.00,9.00,28.00,28.00,27.00,26.00,28.00,22.00,21.00,21.00,21.00,21.00,-32.00,9.00,34.00,10.00,-19.00,0%,0%,0%,0%,0%,-32.00,9.00,34.00,10.00,-19.00,-0.45,0.12,0.45,0.13,-0.27,20.22
Lancer Containers Lines Ltd,235.00,232.00,227.00,177.00,201.00,216.00,211.00,203.00,154.00,180.00,19.00,21.00,24.00,24.00,21.00,8%,9%,11%,13%,10%,1.00,1.00,2.00,1.00,4.00,1.00,2.00,3.00,4.00,4.00,3.00,3.00,4.00,4.00,5.00,16.00,18.00,20.00,16.00,15.00,29%,24%,19%,16%,29%,12.00,13.00,16.00,14.00,11.00,1.93,2.20,2.63,2.26,1.78,-16.67
Hexa Tradex Ltd,0.28,0.00,0.14,0.21,0.39,5.97,-6.07,0.55,13.12,0.04,-5.69,6.07,-0.41,-12.91,0.35,-2032.14%,,-292.86%,-6147.62%,89.74%,16.48,0.11,0.21,0.00,0.00,14.84,15.24,15.04,15.69,15.60,0.00,0.00,0.00,0.00,0.00,-4.05,-9.06,-15.24,-28.60,-15.25,34.07%,45.81%,25.33%,87.10%,63.08%,-2.67,-4.92,-11.38,-3.68,-5.63,-0.48,-0.89,-2.06,-0.67,-1.02,39.29
Xchanging Solutions Ltd,45.00,44.00,43.00,41.00,46.00,31.00,29.00,30.00,33.00,33.00,14.00,15.00,14.00,8.00,13.00,31%,34%,31%,19%,29%,2.00,2.00,3.00,2.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,17.00,17.00,10.00,16.00,31%,10%,28%,32%,33%,11.00,15.00,12.00,7.00,11.00,0.99,1.34,1.08,0.62,0.99,21.20
Coffee Day Enterprises Ltd,170.00,210.00,229.00,244.00,240.00,176.00,188.00,199.00,595.00,188.00,-6.00,23.00,30.00,-351.00,52.00,-4%,11%,13%,-144%,22%,57.00,10.00,21.00,21.00,61.00,-41.00,17.00,14.00,27.00,29.00,33.00,33.00,32.00,48.00,48.00,59.00,-18.00,4.00,-405.00,36.00,1%,-2%,1%,-1%,2%,59.00,-18.00,4.00,-408.00,35.00,2.48,-0.79,0.27,-19.03,1.58,41.54
Menon Bearings Ltd,51.61,62.00,51.42,49.65,53.87,40.64,48.71,40.52,37.16,40.14,10.97,13.29,10.90,12.49,13.73,21.26%,21.44%,21.20%,25.16%,25.49%,0.53,0.98,1.07,0.68,0.20,0.45,0.62,0.81,0.80,0.68,2.00,1.96,2.01,2.05,1.90,9.05,11.69,9.15,10.32,11.35,25.08%,24.98%,24.59%,24.81%,19.12%,6.78,8.77,6.90,7.75,9.18,1.21,1.56,1.23,1.38,1.64,50.52
63 Moons Technologies Ltd,42.00,41.00,44.00,93.00,112.00,78.00,80.00,76.00,78.00,83.00,-36.00,-39.00,-31.00,15.00,28.00,-84%,-94%,-70%,16%,25%,32.00,30.00,21.00,26.00,-7.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,3.00,3.00,14.00,-6.00,-12.00,-14.00,38.00,7.00,-42%,-1%,4%,45%,345%,2.00,-6.00,-14.00,20.00,-26.00,0.97,-0.84,-2.31,4.77,-5.16,163.83
Tuticorin Alkali Chemicals & Fertilizers Ltd,80.00,111.00,119.00,148.00,134.00,69.00,97.00,97.00,129.00,106.00,11.00,15.00,22.00,19.00,28.00,14%,13%,19%,13%,21%,5.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,15.00,14.00,21.00,18.00,26.00,0%,0%,0%,0%,-86%,15.00,14.00,21.00,18.00,48.00,1.20,1.19,1.69,1.44,3.98,25.63
SMS Pharmaceuticals Ltd,61.14,64.39,159.43,148.80,149.43,65.37,65.20,145.87,130.28,126.19,-4.23,-0.81,13.56,18.52,23.24,-6.92%,-1.26%,8.51%,12.45%,15.55%,0.21,0.80,0.61,2.21,1.26,4.34,4.85,5.24,5.94,5.89,7.97,7.93,8.09,8.12,7.97,-16.33,-12.79,0.84,6.67,10.64,154.50%,20.33%,13.10%,20.84%,24.15%,6.17,-12.77,-2.01,3.76,6.22,0.73,-1.51,-0.24,0.44,0.73,144.41
Nelcast Ltd,267.92,295.25,328.52,327.03,313.18,250.91,276.25,301.57,312.43,294.36,17.01,19.00,26.95,14.60,18.82,6.35%,6.44%,8.20%,4.46%,6.01%,3.90,4.30,3.14,6.70,2.00,6.87,6.74,7.99,8.09,8.37,5.66,5.68,5.79,6.08,6.46,8.38,10.88,16.31,7.13,5.99,19.33%,28.58%,25.57%,25.25%,25.04%,6.76,7.77,12.15,5.34,4.48,0.78,0.89,1.40,0.61,0.51,-11.59
Sutlej Textiles and Industries Ltd,890.00,846.00,820.00,665.00,744.00,768.00,715.00,732.00,649.00,718.00,122.00,131.00,88.00,16.00,26.00,14%,15%,11%,2%,3%,3.00,-17.00,6.00,8.00,-8.00,15.00,13.00,13.00,14.00,17.00,30.00,31.00,31.00,32.00,32.00,80.00,70.00,49.00,-23.00,-31.00,35%,35%,37%,31%,24%,52.00,45.00,31.00,-16.00,-24.00,3.15,2.77,1.91,-0.95,-1.46,11.45
Visaka Industries Ltd,420.63,479.22,362.50,354.77,450.10,368.07,415.43,338.00,329.02,424.95,52.56,63.79,24.50,25.75,25.15,12.50%,13.31%,6.76%,7.26%,5.59%,2.65,2.73,2.27,-0.57,3.36,3.39,3.04,3.97,7.01,8.31,10.63,11.49,12.61,12.91,13.18,41.19,51.99,10.19,5.26,7.02,26.88%,25.70%,26.99%,29.28%,28.77%,30.12,38.63,7.44,3.72,5.00,3.49,4.47,0.86,0.43,0.58,18.38
Summit Securities Ltd,7.15,24.62,22.80,2.87,7.46,3.64,7.66,0.95,0.73,1.49,3.51,16.96,21.85,2.14,5.97,49.09%,68.89%,95.83%,74.56%,80.03%,0.07,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,3.57,16.96,21.94,2.14,5.96,25.77%,29.66%,28.67%,-98.60%,15.10%,2.65,11.93,15.65,4.24,5.07,2.43,10.94,14.36,3.89,4.65,23.95
Lincoln Pharmaceuticals Ltd,103.00,123.00,141.00,134.00,112.00,85.00,107.00,112.00,107.00,96.00,17.00,17.00,29.00,27.00,17.00,17%,14%,21%,20%,15%,2.00,6.00,6.00,6.00,4.00,1.00,0.00,0.00,0.00,1.00,2.00,2.00,2.00,2.00,2.00,17.00,21.00,32.00,31.00,17.00,34%,28%,26%,29%,26%,11.00,15.00,24.00,22.00,13.00,5.50,7.49,11.84,10.79,6.27,18.82
Orient Bell Ltd,215.95,154.50,173.00,177.26,200.33,190.05,142.04,161.12,167.51,187.17,25.90,12.46,11.88,9.75,13.16,11.99%,8.06%,6.87%,5.50%,6.57%,1.04,2.36,1.83,0.72,1.21,1.16,0.65,0.53,0.58,0.63,5.54,4.86,5.26,5.70,5.29,20.24,9.31,7.92,4.19,8.45,18.38%,24.81%,24.37%,25.06%,24.97%,16.52,7.00,5.99,3.14,6.34,11.45,4.85,4.14,2.17,4.38,7.31
Focus Lighting & Fixtures Ltd,33.74,24.65,38.76,58.46,40.29,29.84,21.46,30.43,43.68,33.14,3.90,3.19,8.33,14.78,7.15,11.56%,12.94%,21.49%,25.28%,17.75%,0.48,0.30,0.24,0.14,0.03,0.17,0.23,0.28,0.23,0.19,0.89,0.95,0.93,1.09,1.29,3.32,2.31,7.36,13.60,5.70,17.77%,-24.24%,29.62%,26.54%,22.98%,2.74,2.87,5.18,9.99,4.39,2.70,2.80,5.06,9.76,3.35,24.45
K&R Rail Engineering Ltd,93.24,62.37,32.04,58.87,154.50,86.54,60.18,30.23,55.34,150.25,6.70,2.19,1.81,3.53,4.25,7.19%,3.51%,5.65%,6.00%,2.75%,0.62,0.07,0.11,0.07,0.17,0.41,0.30,0.42,0.47,0.48,0.44,0.68,0.77,0.83,0.83,6.47,1.28,0.73,2.30,3.11,29.52%,28.12%,28.77%,28.26%,30.55%,4.55,0.92,0.53,1.66,2.16,2.88,0.58,0.34,1.05,1.37,23.05
Sigachi Industries Ltd,72.55,78.31,82.47,68.85,72.42,57.90,62.06,66.20,54.84,60.25,14.65,16.25,16.27,14.01,12.17,20.19%,20.75%,19.73%,20.35%,16.80%,1.73,1.63,2.21,1.29,1.55,0.48,0.47,1.20,1.20,1.41,0.80,0.80,2.07,1.78,1.98,15.10,16.61,15.21,12.32,10.33,22.91%,22.82%,10.78%,20.29%,29.24%,11.64,12.82,13.58,9.82,7.32,3.79,4.17,4.42,3.19,2.38,-2.05
Nitta Gelatin India Ltd,142.00,134.00,146.00,140.00,146.00,119.00,113.00,119.00,102.00,119.00,22.00,21.00,27.00,38.00,27.00,16%,16%,19%,27%,18%,1.00,1.00,0.00,3.00,0.00,1.00,1.00,2.00,1.00,0.00,4.00,3.00,4.00,4.00,4.00,18.00,18.00,22.00,36.00,23.00,29%,28%,29%,21%,27%,13.00,13.00,15.00,29.00,17.00,13.44,13.48,16.11,30.02,17.82,13.87
Capital India Finance Ltd,153.00,159.00,169.00,162.00,160.00,134.00,159.00,162.00,160.00,156.00,19.00,0.00,7.00,2.00,4.00,12%,0%,4%,1%,2%,2.00,2.00,2.00,2.00,2.00,16.00,19.00,19.00,21.00,22.00,6.00,6.00,6.00,6.00,6.00,-2.00,-23.00,-16.00,-24.00,-23.00,86%,-3%,-11%,8%,-5%,0.00,-24.00,-18.00,-22.00,-24.00,0.30,-1.60,-1.02,-1.23,-1.51,4.70
Shankar Lal Rampal Dye-Chem Ltd,92.01,83.49,74.74,77.51,87.70,83.52,74.84,67.59,75.77,83.24,8.49,8.65,7.15,1.74,4.46,9.23%,10.36%,9.57%,2.24%,5.09%,0.00,0.00,0.26,0.14,0.08,0.29,0.37,0.22,0.25,0.27,0.01,0.01,0.01,0.02,0.02,8.19,8.27,7.18,1.61,4.25,17.34%,25.15%,25.21%,24.84%,74.12%,6.76,6.19,5.37,1.21,1.09,1.06,0.97,0.84,0.19,0.17,-9.01
Centrum Capital Ltd,257.00,277.00,306.00,332.00,394.00,279.00,222.00,224.00,209.00,260.00,-22.00,55.00,82.00,123.00,135.00,-9%,20%,27%,37%,34%,3.00,3.00,78.00,16.00,7.00,122.00,164.00,145.00,164.00,164.00,9.00,9.00,10.00,10.00,9.00,-150.00,-114.00,5.00,-34.00,-30.00,6%,0%,192%,-11%,32%,-140.00,-115.00,-5.00,-38.00,-21.00,-2.98,-1.66,-0.41,-0.68,-0.78,53.48
TVS Electronics Ltd,88.42,86.30,93.33,88.61,85.24,80.62,79.85,87.40,84.39,82.08,7.80,6.45,5.93,4.22,3.16,8.82%,7.47%,6.35%,4.76%,3.71%,0.93,0.56,1.39,-0.29,-0.13,0.35,0.26,0.78,0.16,0.17,1.92,1.80,2.16,2.40,0.73,6.46,4.95,4.38,1.37,2.13,30.50%,23.23%,35.84%,-1.46%,29.11%,4.49,3.80,2.81,1.39,1.51,2.41,2.04,1.51,0.75,0.81,34.75
Forbes & Company Ltd,117.00,122.00,115.00,103.00,102.00,113.00,122.00,124.00,100.00,116.00,3.00,0.00,-9.00,3.00,-14.00,3%,0%,-8%,3%,-14%,4295.00,195.00,36.00,9.00,44.00,11.00,7.00,5.00,5.00,1.00,8.00,7.00,7.00,7.00,7.00,4279.00,182.00,15.00,1.00,22.00,0%,20%,-165%,569%,53%,4294.00,146.00,40.00,-4.00,10.00,3326.29,113.01,31.02,-3.16,7.93,-3.86
